357.7	371.2	404.6	330.7	333.2	241.7	284.6	292.4	268.3	324.2	181.2	407.6	393	280.8	367.8	429.5	254.5	346.3	414.5	240.7	372.2
20.9	18.5	10.8	13.5	20.5	10.7	3.7	12.8	25.4	23.1	11.5	34.2	28	17.7	26.3	17.5	21.1	8.2	44.3	14.8	15.6
4.7	18.9	17.6	2.6	5.5	3.3	3.2	1.8	9.8	22.1	26.5	6.4	8.2	6.3	2.5	3.3	10.8	5.5	7.2	3.6	6.1
174.1	231.7	214.1	201.6	314.5	8.4	7.2	204.6	22.3	109.3	100.4	414	75.7	211.8	232.5	189	24.7	7.8	91.4	333.6	18.7
257	194.3	221.5	185.4	376.4	355.9	176.8	244.2	186.2	743	268.7	423.2	132.6	157	155.1	216	244.6	299.8	221.1	509.4	254.5
732.9	499.8	1092.3	923.6	287.5	137.9	1033.4	384.2	183.1	184	959.2	5835.6	755.1	150.1	604.2	585.6	153.5	225	3012.3	84.3	188.7
1.1	2.2	11.7	2.6	15.1	1.1	1.1	2.8	3.3	8.6	2	1.8	1.2	1.9	3.7	1.4	2.5	1.1	4.7	5.9	6.9
109.7	174.6	185.9	109.1	215.8	161.9	196.5	162	156.7	140.2	169.1	271.4	177.4	199.3	236.6	181	268	151.3	165.3	205.2	159.1
887.2	551.8	2038.1	653.5	2216.7	1581.3	677.5	850.3	3090.5	1054.8	2198.8	4194.9	1969.6	1006.7	767.5	354.7	13069.3	4636.9	3149.1	1024.9	807.6
1145.5	1014.9	1103.1	850.4	886.6	859.3	1228.6	1231.9	1118.3	762.1	1438.9	763.7	1382.4	1008.2	1025.9	1197	735.2	865.3	485	811.1	783
169	200.6	196.3	151.4	167.8	111.3	164.9	240.6	155.9	215.2	121.7	277.2	172.7	163.6	194	117.1	130.5	164.2	212.2	108.4	114.7
8.5	10.3	6.6	3.4	11.6	8	7.5	5.7	13.2	25.9	13.3	20.2	48.6	20.3	4.2	3.5	12.4	12.8	9.2	11.6	6.6
25.9	31.7	43.3	40.9	40.8	26.7	45.1	62	60.4	63.4	38.6	12.5	53.6	72.8	59.6	33.3	35.8	45.3	68	56.7	39.3
28	34.4	13.2	28.3	15.7	56.5	35.2	25	17.1	40.8	39.7	20.4	11.6	15.9	5.9	18.2	28.8	55	35.9	25.2	18.8
17.2	3	6	9.9	10	16.7	1.5	10	2.9	9.3	18.3	1.4	6.5	12.3	11.3	9.2	2.1	4.7	1.3	5.4	3.8
225.4	316.5	305.7	333.1	257.8	268.2	254.7	365.6	263	407.4	329.8	276.9	299.3	331.5	295.1	338.4	236.6	412.9	261.2	309.7	155
13.9	23	7.8	34.4	18.6	10.1	10	21.7	44	7	9.4	15.3	39.6	39.7	52.7	20.7	43.7	11.3	43.4	14.6	15.6
2.2	10.1	2	2.3	3.1	2.8	11.1	8	3.8	7	14.8	8.3	3.5	5.4	16.8	4.9	21.1	7.3	25.2	2.7	8.1
37.9	31.2	26.4	33.4	24.2	21.4	22	17	19	13.4	24.9	35.3	25.4	42.1	30.2	33.9	34	24	32.6	25.5	26.3
20.4	50.2	47.4	33	39.7	20.4	27.2	27.2	23.3	13.9	18	90.6	36.1	35.4	17.7	27.9	83.9	24.3	29.4	42.7	37.5
104.6	40.2	63.3	69.6	81.8	54.6	53.4	38.5	75.5	110.2	120.8	156.4	59.8	48.9	70.3	65.5	127.4	52.5	147.2	105	84.8
74.7	47.3	52.1	48.3	65.1	110.7	69	58.9	109.1	112	132	6.5	68.7	69.5	42.8	63.5	8.9	88.3	51	140.2	36.2
510.1	490.4	528.6	645.6	728.9	446.9	500.7	562.4	520.7	686.7	890.6	352.8	423.8	707.6	521.2	597.9	556.3	654.4	368.4	523.4	362.7
19.6	17.6	21.2	41.5	15.2	2	15.4	8.7	8.1	21.7	34.8	143.7	21	16.2	18.5	10.6	32	5.6	14.2	8	51.4
29.2	12.7	6.9	18.4	25.9	23.9	9.8	6.8	20	24.2	2.5	29.4	16.2	11.5	11.7	14.7	56.2	25.3	49.7	7.6	21.9
10.1	6.2	6.6	5.3	6.7	5.3	3.3	5	8.3	8.5	7.9	10.6	4.4	7.3	10	6.3	12	9.1	6.6	8	9.1
24.8	18	23.7	34.7	28.3	15.4	24.9	13.6	8.4	23.3	26.2	80.8	35.5	19.7	10.1	17.7	39.6	24.6	15.1	13.3	41.5
31.7	23.9	25.5	19.9	39.4	21.6	17.9	19.5	49	15.5	18.3	56	18.8	27	15.5	19.2	44.6	35.9	54.8	22.9	27
63.1	20.3	58.1	82.1	21.1	29.1	24.7	44	35.5	105.8	56.3	79.5	14.7	79.2	20.5	17.3	57.3	50.2	23.7	22.9	15.1
6.7	11.3	16.6	8.6	4.7	6.7	15.6	11	23.2	15.1	4.3	15.7	13.8	16.6	26.2	9.7	9.2	26.7	8.5	23.1	29.5
